,trial_id,country_name,recruitment_status,country_iso3
2340,751,Spain,"Ongoing, recruitment ended",ESP
2341,752,Italy,Ended,ITA
2342,752,Germany,Ended,DEU
2343,752,Spain,Ended,ESP
2344,752,France,Ended,FRA
2345,752,Greece,Ended,GRC
2346,753,Poland,Ended,POL
2347,754,Spain,Ended,ESP
2348,754,Czechia,Ended,CZE
2349,754,France,Ended,FRA
2350,754,Belgium,Ended,BEL
2351,754,Germany,Ended,DEU
2352,754,Italy,Ended,ITA
2353,755,France,Ended,FRA
2354,756,Germany,"Ongoing, recruitment ended",DEU
2355,757,Austria,Ended,AUT
2356,757,Spain,Ended,ESP
2357,757,Germany,Ended,DEU
2358,757,France,Ended,FRA
2359,758,Spain,"Ongoing, recruiting",ESP
2360,759,Denmark,Ended,DNK
2361,760,Italy,"Ongoing, recruiting",ITA
2362,761,Sweden,"Ongoing, recruitment ended",SWE
2363,762,France,"Ongoing, recruiting",FRA
2364,763,Poland,Ended,POL
2365,764,Germany,"Ongoing, recruitment ended",DEU
2366,764,France,"Ongoing, recruitment ended",FRA
2367,764,Italy,"Ongoing, recruitment ended",ITA
2368,764,Greece,"Ongoing, recruitment ended",GRC
2369,765,Poland,"Ongoing, recruiting",POL
2370,766,Lithuania,"Ongoing, recruitment ended",LTU
2371,766,Germany,"Ongoing, recruitment ended",DEU
2372,766,Spain,"Ongoing, recruitment ended",ESP
2373,767,Spain,"Ongoing, recruiting",ESP
2374,768,Denmark,Ended,DNK
2375,768,Poland,Ended,POL
2376,768,Spain,Ended,ESP
2377,768,Sweden,Ended,SWE
2378,768,Germany,Ended,DEU
2379,769,Denmark,Ended,DNK
2380,770,Spain,Ended,ESP
2381,770,Netherlands,Ended,NLD
2382,771,Poland,"Ongoing, recruitment ended",POL
2383,771,Spain,"Ongoing, recruitment ended",ESP
2384,771,Italy,"Ongoing, recruitment ended",ITA
2385,771,Hungary,Ended,HUN
2386,771,Norway,"Ongoing, recruitment ended",NOR
2387,771,Netherlands,"Ongoing, recruitment ended",NLD
2388,771,Belgium,"Ongoing, recruitment ended",BEL
2389,772,Denmark,"Ongoing, recruiting",DNK
2390,773,Italy,"Ongoing, recruiting",ITA
2391,773,Spain,"Ongoing, recruiting",ESP
2392,774,Spain,Ended,ESP
2393,774,Hungary,Ended,HUN
2394,774,France,"Ongoing, recruitment ended",FRA
2395,774,Belgium,Ended,BEL
2396,774,Romania,"Ongoing, recruitment ended",ROU
2397,775,Germany,Ended,DEU
2398,775,Belgium,Ended,BEL
